date,year,month,city_tax_collections_non_vehicle_sales,city_vehicle_sales_tax_collections,city_total_tax_collections,parish_tax_collections_non_vehicle_sales_taxes,parish_vehicle_tax_collections,parish_total_tax_collections,city_parish_total_non_vehicle_sales_taxes,city_parish_vehicle_sales_tax_collections,city_parish_total_tax_collections
2021-10-01,2021,October,11045931,714864,11760795,7493541,804283,8297824,18539472,1519147,20058619
2021-09-01,2021,September,10093072,770599,10863671,8297664,839018,9136682,18390736,1609617,20000353
2021-08-01,2021,August,9115308,864799,9980107,7210390,656333,7866723,16325698,1521132,17846830
2021-07-01,2021,July,9393027,952617,10345644,7409293,947050,8356343,16802320,1899667,18701987
2021-06-01,2021,June,9986585,961671,10948256,7914092,968177,8882269,17900677,1929848,19830525
2021-05-01,2021,May,9503510,770203,10273713,6926569,859613,7786182,16430079,1629816,18059895
2021-11-01,2021,November,9827073,653986,10481059,8182733,818233,9000966,18009806,1472219,19482025
2021-12-01,2021,December,11765120,724150,12489270,9347118,830122,10177240,21112238,1554272,22666510
2022-01-01,2022,January,9725383,667122,10392505,7460700,872868,8333568,17186083,1539990,18726073
2022-02-01,2022,February,9180220,639748,9819968,6985465,693771,7679236,16165685,1333519,17499204
2022-03-01,2022,March,10888119,817776,11705895,8765214,898766,9663980,19653333,1716542,21369875
2022-04-01,2022,April,11102580,756298,11858878,8401540,867553,9269093,19504120,1623851,21127971
2022-05-01,2022,May,10737174,777730,11514904,8135395,849362,8984757,18872569,1627092,20499661
2022-06-01,2022,June,11149185,749401,11898586,8498135,926684,9424819,19647320,1676085,21323405
2021-04-01,2021,April,9601735,815635,10417370,7122448,921284,8043732,16724183,1736919,18461102
2021-03-01,2021,March,10149320,725691,10875011,7990268,877952,8868220,18139588,1603643,19743231
2021-02-01,2021,February,7615288,622202,8237490,5823647,676209,6499856,13438935,1298411,14737346
2021-01-01,2021,January,8074809,687117,8761926,6428946,743623,7172569,14503755,1430740,15934495
2020-12-01,2020,December,9814212,667186,10481398,7702950,826189,8529139,17517162,1493375,19010537
2020-11-01,2020,November,8252452,642469,8894921,6685711,788034,7473745,14938163,1430503,16368666
2020-10-01,2020,October,8342791,855748,9198539,6911025,723727,7634752,15253816,1579475,16833291
2020-09-01,2020,September,9053321,669278,9722599,7099214,751185,7850399,16152535,1420463,17572998
2020-08-01,2020,August,8440777,704451,9145228,6383269,707660,7090929,14824046,1412111,16236157
2020-07-01,2020,July,8372571,762032,9134603,6573734,778516,7352250,14946305,1540548,16486853
2020-06-01,2020,June,8771987,665596,9437583,6889673,751788,7641461,15661660,1417384,17079044
2020-05-01,2020,May,7559158,532051,8091209,6137279,570379,6707658,13696437,1102430,14798867
2020-04-01,2020,April,6816514,410478,7226992,5323138,442382,5765520,12139652,852860,12992512
2020-03-01,2020,March,8181070,679021,8860091,6525296,604080,7129376,14706366,1283101,15989467
2020-02-01,2020,February,7867117,578011,8445128,6106695,629061,6735756,13973812,1207072,15180884
2020-01-01,2020,January,8004107,703029,8707136,6682279,800772,7483051,14686386,1503801,16190187
2019-12-01,2019,December,9590823,550033,10140856,6957870,652867,7610737,16548693,1202900,17751593
2019-11-01,2019,November,8025414,511514,8536928,6988232,483313,7471545,15013646,994827,16008473
2019-10-01,2019,October,8603354,616935,9220289,6922795,722612,7945407,15526149,1339547,16865696
2019-09-01,2019,September,8265110,567291,8832401,6969268,715399,7684667,15234378,1282690,16517068
2019-08-01,2019,August,8488098,669871,9157969,6854515,671996,7526511,15342613,1341867,16684480
2019-07-01,2019,July,8108977,690263,8799240,6454244,679148,7133392,14563221,1369411,15932632
2019-06-01,2019,June,8214786,584474,8799260,6494976,638445,7133421,14709762,1222919,15932681
2019-05-01,2019,May,8817974,684329,9502303,6390819,652475,7043294,15208793,1336804,16545597
2019-04-01,2019,April,8453869,631424,9085293,6202056,601034,6803090,14655925,1232458,15888383
2019-03-01,2019,March,9180270,620383,9800653,6867303,596356,7463659,16047573,1216739,17264312
2019-02-01,2019,February,7774971,551531,8326502,5890921,535421,6426342,13665892,1086952,14725844
2019-01-01,2019,January,7738150,665619,8403769,6155697,708883,6864580,13893847,1374502,15268349
2018-12-01,2018,December,9717037,560472,10277509,6874640,576782,7451422,16591677,1137254,17728931
2018-11-01,2018,November,8183503,549016,8732519,6731707,541890,7273597,14915210,1090906,16006116
2018-10-01,2018,October,8342560,638838,8981398,6529597,710628,7240225,14872157,1349466,16221623
2018-09-01,2018,September,8395498,505763,8901261,6138413,541822,6680235,14533911,1047585,15581496
2018-08-01,2018,August,8275518,649536,8925117,6988142,666802,7654944,15263723,1316338,16580016
2018-07-01,2018,July,8181078,635195,8816273,6205076,644152,6849228,14386154,1279347,15665501
2018-06-01,2018,June,8670568,605621,9276189,6283339,610539,6893878,14953907,1216160,16170067
2018-05-01,2018,May,8602035,615502,9217537,6604886,682933,7287819,15206921,1298435,16505356
2018-04-01,2018,April,8275934,611329,8887263,6002187,642046,6644233,14278121,1253375,15531496
2018-03-01,2018,March,8928009,679353,9607362,6775821,669779,7445600,15703830,1349132,17052962
2018-02-01,2018,February,7724611,527768,8252379,5382159,576926,5959085,13106770,1104694,14211464
2018-01-01,2018,January,7815593,602142,8417735,5764546,678431,6442977,13580139,1280573,14860712
2017-12-01,2017,December,9571623,559404,10131027,6903126,723402,7626528,16474749,1282806,17757555
2017-11-01,2017,November,8415435,543303,8958738,6170174,591643,6761817,14585609,1134946,15720555
2017-10-01,2017,October,8419428,650468,9069896,5952337,654196,6606533,14371765,1304664,15676429
2017-09-01,2017,September,8685762,660210,9345972,6237864,568020,6805884,14923626,1228230,16151856
